SWI01_dD_Ba204	JBE
SWI01_dD_Ba212	JBE
SWI01_dD_Ba214	JBE
SWI01_dD_Ba218	JBE
SWI01_dD_Ba223_c_JBE	JBE
SWI01_dD_Ba224_c_JBE	JBE
SWI01_dD_Ba237	JBE
SWI01_dD_Ba242	JBE
SWI01_dD_Ba243	JBE
SWI01_dD_Ba245_c_JBE	JBE
SWI01_dD_Ba246_c_NMU	NMU
SWI01_dD_Ba247_c_JBE	JBE
SWI01_dD_Fr155	JBE
SWI01_dD_Fr156	JBE
SWI01_dD_Fr159	JBE
SWI01_dD_Fr166	JBE
SWI01_dD_Fr169	JBE
SWI01_dD_Fr170	JBE
SWI01_dD_Fr173_c_JBE	JBE
SWI01_dD_Fr175_c_JBE	JBE
SWI01_dD_Fr185	JBE
SWI01_dD_Fr189	JBE
SWI01_dD_Fr190	JBE
SWI01_dD_Fr193	JBE
SWI01_dD_Fr194	JBE
SWI01_dD_Fr197_c_JBE	JBE
SWI01_dD_Fr199_c_JBE	JBE
SWI01_dD_Fr200_c_JBE	JBE
SWI01_dD_Th101_c_JBE	JBE
SWI01_dD_Th102_c_JBE	JBE
SWI01_dD_Th103_c_JBE	JBE
SWI01_dD_Th117	JBE
SWI01_dD_Th121	JBE
SWI01_dD_Th122	JBE
SWI01_dD_Th127_c_JBE	JBE
SWI01_dD_Th141	JBE
SWI01_dD_Th142	JBE
SWI01_dD_Th149_c_JBE	JBE
SWI01_dD_Th151_c_NMU	NMU
SWI01_eD_Pf257_p	JBE
SWI01_eD_Pf259_p	JBE
SWI01_eD_Pf260_p_JBE	JBE
SWI01_eD_Pf261_p	JBE
SWI01_eD_Pf262_p	JBE
SWI01_fD_Es145_JBE	JBE
SWI01_fD_Es153_JBE	JBE
SWI01_fD_Es157_JBE	JBE
SWI01_fD_Es165_c_JBE	JBE
SWI01_fD_Es168_JBE	JBE
SWI01_fD_Es170_JBE	JBE
SWI01_fD_Es171_JBE	JBE
SWI01_fD_Es174_JBE	JBE
SWI01_fD_Es175_JBE	JBE
SWI01_fD_Es176_JBE	JBE
SWI01_fD_Es179_JBE	JBE
SWI01_fD_Es180_JLA	JLA
SWI01_fD_Es185_c_JBE	JBE
SWI01_fD_Mo101_JBE	JBE
SWI01_fD_Mo103_JBE	JBE
SWI01_fD_Mo107_c_JBE	JBE
SWI01_fD_Mo113_c_JBE	JBE
SWI01_fD_Mo115_JBE	JBE
SWI01_fD_Mo116_JBE	JBE
SWI01_fD_Mo123_JBE	JBE
SWI01_fD_Mo129_c_JBE	JBE
SWI01_fD_Mo131_JBE	JBE
SWI01_fD_Mo132_JBE	JBE
SWI01_fD_RI100_p	NHI
SWI01_fD_RI101_p	NHI
SWI01_fD_RI103_p	NHI
SWI01_fD_RI106_p	NHI
SWI01_fD_RI205_p	NHI
SWI01_fD_RI207_p	NHI
SWI01_fD_RI208_p	NHI
SWI01_fD_RI217_p	NHI
SWI01_fD_RI221_p	NHI
SWI01_fD_RI222_p	NHI
SWI01_fD_RI303_p	NHI
SWI01_fD_RI304_p	NHI
SWI01_fD_RI305_p	NHI
SWI01_fD_RI309_p	NHI
SWI01_fD_RI312_p	NHI
SWI01_fD_RI313_p	NHI
SWI01_fD_RI315_p	NHI
SWI01_fD_RI317_p	NHI
SWI01_fD_RI319_p	NHI
SWI01_fD_RI324_p	NHI
SWI01_fD_RI400_p	NHI
SWI01_fD_RI401_p	NHI
SWI01_fD_RI402_p	NHI
SWI01_fD_RI403_p	NHI
SWI01_fD_RI409_p	NHI
SWI01_fD_RI415_p	NHI
SWI01_fD_RI416_p	NHI
SWI01_fD_RI417_p	NHI
SWI01_fD_RI419_p	NHI
SWI01_fD_RI424_p	NHI
SWI01_fD_RI502_p	NHI
SWI01_fD_RI504_p	NHI
SWI01_fD_RI505_p	NHI
SWI01_fD_RI510_p	NHI
SWI01_fD_RI512_p	NHI
SWI01_fD_RI513_p	NHI
SWI01_fD_RI518_p	NHI
SWI01_fD_RI519_p	NHI
SWI01_fD_RI520_p	NHI
SWI01_fD_RI522_p	NHI
SWI02_dD_Ba212	JBE
SWI02_dD_Ba214	JBE
SWI02_dD_Ba217	JBE
SWI02_dD_Ba218	JBE
SWI02_dD_Ba223_c_JBE	JBE
SWI02_dD_Ba237	JBE
SWI02_dD_Ba242	JBE
SWI02_dD_Ba243	JBE
SWI02_dD_Ba245_c_JBE	JBE
SWI02_dD_Ba246_c_JBE	JBE
SWI02_dD_Ba247_c_NMU	NMU
SWI02_dD_Fr155	JBE
SWI02_dD_Fr156	JBE
SWI02_dD_Fr166	JBE
SWI02_dD_Fr169	JBE
SWI02_dD_Fr170	JBE
SWI02_dD_Fr173_c_JBE	JBE
SWI02_dD_Fr175_c_JBE	JBE
SWI02_dD_Fr185	JBE
SWI02_dD_Fr189	JBE
SWI02_dD_Fr190	JBE
SWI02_dD_Fr193	JBE
SWI02_dD_Fr194	JBE
SWI02_dD_Fr197_c_JBE	JBE
SWI02_dD_Fr198_c_JBE	JBE
SWI02_dD_Fr199_c_JBE	JBE
SWI02_dD_Fr200_c_JBE	JBE
SWI02_dD_Th101_c_JBE	JBE
SWI02_dD_Th102_c_JBE	JBE
SWI02_dD_Th103_c_NMU	NMU
SWI02_dD_Th104_c_JBE	JBE
SWI02_dD_Th117	JBE
SWI02_dD_Th121	JBE
SWI02_dD_Th122	JBE
SWI02_dD_Th127_c_JBE	JBE
SWI02_dD_Th128_c_JBE	JBE
SWI02_dD_Th141	JBE
SWI02_dD_Th142	JBE
SWI02_dD_Th149_c_JBE	JBE
SWI02_dD_Th150_c_JBE	JBE
SWI02_dD_Th151_c_JBE	JBE
SWI02_eD_Pf259_p	JBE
SWI02_eD_Pf262_p	JBE
SWI02_fD_Es141_c_JBE	JBE
SWI02_fD_Es147_JLA	JLA
SWI02_fD_Es148_JBE	JBE
SWI02_fD_Es152_JBE	JBE
SWI02_fD_Es154_JBE	JBE
SWI02_fD_Es158_JLA	JLA
SWI02_fD_Es159_JBE	JBE
SWI02_fD_Es164_c_JBE	JBE
SWI02_fD_Es169_JLA	JLA
SWI02_fD_Es177_JBE	JBE
SWI02_fD_Es181_JBE	JBE
SWI02_fD_Es184_c_JBE	JBE
SWI02_fD_Mo106_c_JBE	JBE
SWI02_fD_Mo118_c_JBE	JBE
SWI02_fD_Mo122_JBE	JBE
SWI02_fD_Mo134_c_JBE	JBE
SWI02_fD_Mo135_c_JBE	JBE
SWI02_fD_Mo136_JBE	JBE
SWI02_fD_RI100_p	NHI
SWI02_fD_RI101_p	NHI
SWI02_fD_RI103_p	NHI
SWI02_fD_RI106_p	NHI
SWI02_fD_RI107_p	NHI
SWI02_fD_RI108_p	NHI
SWI02_fD_RI109_p	NHI
SWI02_fD_RI110_p	NHI
SWI02_fD_RI111_p	NHI
SWI02_fD_RI202_p	NHI
SWI02_fD_RI204_p	NHI
SWI02_fD_RI209_p	NHI
SWI02_fD_RI211_p	NHI
SWI02_fD_RI212_p	NHI
SWI02_fD_RI213_p	NHI
SWI02_fD_RI214_p	NHI
SWI02_fD_RI215_p	NHI
SWI02_fD_RI221_p	NHI
SWI02_fD_RI301_p	NHI
SWI02_fD_RI304_p	NHI
SWI02_fD_RI305_p	NHI
SWI02_fD_RI311_p	NHI
SWI02_fD_RI314_p	NHI
SWI02_fD_RI315_p	NHI
SWI02_fD_RI318_p	NHI
SWI02_fD_RI324_p	NHI
SWI02_fD_RI404_p	NHI
SWI02_fD_RI406_p	NHI
SWI02_fD_RI407_p	NHI
SWI02_fD_RI408_p	NHI
SWI02_fD_RI412_p	NHI
SWI02_fD_RI413_p	NHI
SWI02_fD_RI415_p	NHI
SWI02_fD_RI418_p	NHI
SWI02_fD_RI420_p	NHI
SWI02_fD_RI424_p	NHI
SWI02_fD_RI502_p	NHI
SWI02_fD_RI503_p	NHI
SWI02_fD_RI506_p	NHI
SWI02_fD_RI507_p	NHI
SWI02_fD_RI508_p	NHI
SWI02_fD_RI509_p	NHI
SWI02_fD_RI511_p	NHI
SWI02_fD_RI512_p	NHI
SWI02_fD_RI514_p	NHI
SWI02_fD_RI517_p	NHI
SWI02_fD_RI519_p	NHI
SWI02_fD_RI520_p	NHI
SWI02_fD_RI522_p	NHI
SWI03_dD_Ba212_JLA	JBE
SWI03_dD_Ba214_JLA	JBE
SWI03_dD_Ba217_JLA	JBE
SWI03_dD_Ba218_JLA	JBE
SWI03_dD_Ba222_c_JBE	JBE
SWI03_dD_Ba223_c_JBE	JBE
SWI03_dD_Ba224_c_JBE	JBE
SWI03_dD_Ba237_JLA	JBE
SWI03_dD_Ba242_JLA	JBE
SWI03_dD_Ba243_JLA	JBE
SWI03_dD_Ba245_c_JBE	JBE
SWI03_dD_Ba246_c_JBE	JBE
SWI03_dD_Ba247_c_JBE	JBE
SWI03_dD_Fr166	JBE
SWI03_dD_Fr169_JLA	JBE
SWI03_dD_Fr170_JLA	JBE
SWI03_dD_Fr173_c_JBE	JBE
SWI03_dD_Fr175_c_JBE	JBE
SWI03_dD_Fr184_JLA	JBE
SWI03_dD_Fr189_JLA	JBE
SWI03_dD_Fr190_JLA	JBE
SWI03_dD_Fr193_JLA	JBE
SWI03_dD_Fr194_JLA	JBE
SWI03_dD_Fr197_c_NMU	NMU
SWI03_dD_Fr198_c_JBE	JBE
SWI03_dD_Fr199_c_JBE	JBE
SWI03_dD_Fr200_c_JBE	JBE
SWI03_dD_Th101_c_JBE	JBE
SWI03_dD_Th102_c_JBE	JBE
SWI03_dD_Th103_c_JBE	JBE
SWI03_dD_Th104_c_JBE	JBE
SWI03_dD_Th117	JBE
SWI03_dD_Th121	JBE
SWI03_dD_Th122	JBE
SWI03_dD_Th127_c_JBE	JBE
SWI03_dD_Th128_c_JBE	JBE
SWI03_dD_Th141	JBE
SWI03_dD_Th142	JBE
SWI03_dD_Th149_c_JBE	JBE
SWI03_dD_Th150_c_JBE	JBE
SWI03_dD_Th151_c_NMU	NMU
SWI03_eD_Pf262_p	JBE
SWI03_fD_Es145_EWI	EWI
SWI03_fD_Es153_KKA	KKA
SWI03_fD_Es157_KKA	KKA
SWI03_fD_Es165_c_JBE	JBE
SWI03_fD_Es170_KKA	KKA
SWI03_fD_Es171_KKA	KKA
SWI03_fD_Es174_KKA	KKA
SWI03_fD_Es175_JBE	JBE
SWI03_fD_Es176_JBE	JBE
SWI03_fD_Es179_JBE	JBE
SWI03_fD_Es180_JBE	JBE
SWI03_fD_Es185_c_JBE	JBE
SWI03_fD_Mo101_JBE	JBE
SWI03_fD_Mo103_JBE	JBE
SWI03_fD_Mo107_c_JBE	JBE
SWI03_fD_Mo115_JBE	JBE
SWI03_fD_Mo123_JBE	JBE
SWI03_fD_Mo129_c_JBE	JBE
SWI03_fD_Mo131_JBE	JBE
SWI03_fD_Mo132_p	KKA
SWI03_fD_RI101_p	NHI
SWI03_fD_RI106_p	NHI
SWI03_fD_RI107_p	NHI
SWI03_fD_RI109_p	NHI
SWI03_fD_RI202_p	NHI
SWI03_fD_RI203_p	NHI
SWI03_fD_RI204_p	NHI
SWI03_fD_RI206_p	NHI
SWI03_fD_RI209_p	NHI
SWI03_fD_RI212_p	NHI
SWI03_fD_RI213_p	NHI
SWI03_fD_RI214_p	NHI
SWI03_fD_RI215_p	NHI
SWI03_fD_RI216_p	NHI
SWI03_fD_RI217_p	NHI
SWI03_fD_RI218_p	NHI
SWI03_fD_RI221_p	NHI
SWI03_fD_RI301_p	NHI
SWI03_fD_RI302_p	NHI
SWI03_fD_RI303_p	NHI
SWI03_fD_RI310_p	NHI
SWI03_fD_RI313_p	NHI
SWI03_fD_RI314_p	NHI
SWI03_fD_RI321_p	NHI
SWI03_fD_RI322_p	NHI
SWI03_fD_RI326_p	NHI
SWI03_fD_RI400_p	NHI
SWI03_fD_RI403_p	NHI
SWI03_fD_RI404_p	NHI
SWI03_fD_RI405_p	NHI
SWI03_fD_RI406_p	NHI
SWI03_fD_RI410_p	NHI
SWI03_fD_RI412_p	NHI
SWI03_fD_RI414_p	NHI
SWI03_fD_RI415_p	NHI
SWI03_fD_RI418_p	NHI
SWI03_fD_RI420_p	NHI
SWI03_fD_RI421_p	NHI
SWI03_fD_RI422_p	NHI
SWI03_fD_RI501_p	NHI
SWI03_fD_RI503_p	NHI
SWI03_fD_RI504_p	NHI
SWI03_fD_RI505_p	NHI
SWI03_fD_RI506_p	NHI
SWI03_fD_RI509_p	NHI
SWI03_fD_RI510_p	NHI
SWI03_fD_RI511_p	NHI
SWI03_fD_RI512_p	NHI
SWI03_fD_RI513_p	NHI
SWI03_fD_RI520_p	NHI
SWI03_fD_RI521_p	NHI
SWI04_dD_Ba212_JLA	JBE
SWI04_dD_Ba214_JLA	JBE
SWI04_dD_Ba217_JLA	JBE
SWI04_dD_Ba218_JLA	JBE
SWI04_dD_Ba222_c_NMU	NMU
SWI04_dD_Ba223_c_JBE	JBE
SWI04_dD_Ba224_c_JBE	JBE
SWI04_dD_Ba237_JLA	JBE
SWI04_dD_Ba242_JLA	JBE
SWI04_dD_Ba243_JLA	JBE
SWI04_dD_Ba245_c_JBE	JBE
SWI04_dD_Ba246_c_JBE	JBE
SWI04_dD_Ba247_c_JBE	JBE
SWI04_dD_Fr166_JLA	JBE
SWI04_dD_Fr169_JLA	JBE
SWI04_dD_Fr170_JLA	JBE
SWI04_dD_Fr173_c_JBE	JBE
SWI04_dD_Fr174_c_NMU	NMU
SWI04_dD_Fr175_c_NMU	NMU
SWI04_dD_Fr179_JLA	JBE
SWI04_dD_Fr184_JLA	JBE
SWI04_dD_Fr189_JLA	JBE
SWI04_dD_Fr190_JLA	JBE
SWI04_dD_Fr193_JLA	JBE
SWI04_dD_Fr194_JLA	JBE
SWI04_dD_Fr197_c_NMU	NMU
SWI04_dD_Fr198_c_NMU	NMU
SWI04_dD_Fr199_c_NMU	NMU
SWI04_dD_Fr200_c_NMU	NMU
SWI04_dD_Th101_c_NMU	NMU
SWI04_dD_Th102_c_NMU	NMU
SWI04_dD_Th103_c_NMU	NMU
SWI04_dD_Th104_c_NMU	NMU
SWI04_dD_Th117_JLA	JBE
SWI04_dD_Th121_JLA	JBE
SWI04_dD_Th122_JLA	JBE
SWI04_dD_Th127_c_NMU	NMU
SWI04_dD_Th128_c_NMU	NMU
SWI04_dD_Th141_JLA	JBE
SWI04_dD_Th142_JLA	JBE
SWI04_dD_Th149_c_NMU	NMU
SWI04_dD_Th150_c_NMU	NMU
SWI04_dD_Th151_c_NMU	NMU
SWI04_eD_Pf257_p_JBE	JBE
SWI04_eD_Pf262_p	JBE
SWI04_fD_Es141_c_JLA	JLA
SWI04_fD_Es147_JLA	JLA
SWI04_fD_Es148_JBE	JBE
SWI04_fD_Es152_JBE	JBE
SWI04_fD_Es154_JBE	JBE
SWI04_fD_Es158_JBE	JBE
SWI04_fD_Es159_JBE	JBE
SWI04_fD_Es164_c_JLA	JLA
SWI04_fD_Es177_JBE	JBE
SWI04_fD_Es183_c_JLA	JLA
SWI04_fD_Es184_c_JLA	JLA
SWI04_fD_Mo106_c_JLA	JLA
SWI04_fD_Mo118_c_JLA	JLA
SWI04_fD_Mo119_c_JLA	JLA
SWI04_fD_Mo122_JBE	JBE
SWI04_fD_Mo127_c_JLA	JLA
SWI04_fD_Mo134_c_JLA	JLA
SWI04_fD_Mo135_c_JBE	JBE
SWI04_fD_Mo136_JBE	JBE
SWI04_fD_RI102_p	NHI
SWI04_fD_RI111_p	NHI
SWI04_fD_RI205_p	NHI
SWI04_fD_RI206_p	NHI
SWI04_fD_RI207_p	NHI
SWI04_fD_RI210_p	NHI
SWI04_fD_RI211_p	NHI
SWI04_fD_RI213_p	NHI
SWI04_fD_RI222_p	NHI
SWI04_fD_RI223_p	NHI
SWI04_fD_RI300_p	NHI
SWI04_fD_RI304_p	NHI
SWI04_fD_RI305_p	NHI
SWI04_fD_RI309_p	NHI
SWI04_fD_RI312_p	NHI
SWI04_fD_RI317_p	NHI
SWI04_fD_RI318_p	NHI
SWI04_fD_RI320_p	NHI
SWI04_fD_RI321_p	NHI
SWI04_fD_RI322_p	NHI
SWI04_fD_RI326_p	NHI
SWI04_fD_RI402_p	NHI
SWI04_fD_RI403_p	NHI
SWI04_fD_RI404_p	NHI
SWI04_fD_RI405_p	NHI
SWI04_fD_RI409_p	NHI
SWI04_fD_RI412_p	NHI
SWI04_fD_RI413_p	NHI
SWI04_fD_RI416_p	NHI
SWI04_fD_RI417_p	NHI
SWI04_fD_RI420_p	NHI
SWI04_fD_RI424_p	NHI
SWI04_fD_RI501_p	NHI
SWI04_fD_RI506_p	NHI
SWI04_fD_RI507_p	NHI
SWI04_fD_RI508_p	NHI
SWI04_fD_RI513_p	NHI
SWI04_fD_RI516_p	NHI
SWI04_fD_RI517_p	NHI
SWI04_fD_RI519_p	NHI
SWI04_fD_RI521_p	NHI
SWI05_dD_Ba205_JLA	JBE
SWI05_dD_Ba206_JLA	JBE
SWI05_dD_Ba210_c_NMU	NMU
SWI05_dD_Ba211_c_NMU	NMU
SWI05_dD_Ba212_c_NMU	NMU
SWI05_dD_Ba225_JLA	JBE
SWI05_dD_Ba226_JLA	JBE
SWI05_dD_Ba229_JLA	JBE
SWI05_dD_Ba230_JLA	JBE
SWI05_dD_Ba233_c_NMU	NMU
SWI05_dD_Ba246_JLA	JBE
SWI05_dD_Ba249_JLA	JBE
SWI05_dD_Ba250_JLA	JBE
SWI05_dD_Ba253_JLA	JBE
