DAKODA variable;Kurzname;Erläuterung (deu);description (eng);value definition;Kommentar zum Wertebereich;details about the values (eng);default if missing information;repeatable;LC-meta variable;Description ;Condition;Fixed attributes;Further details and examples;Obligatory or not;Repeatable;version of LC-meta;DAKODA different to LC-meta?;why?;note;DAKODA value -> LC-meta  value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_assessed;Ist die Aufgabe Teil eines Sprachtests ?;Ist die Aufgabe Teil irgendeiner Art von Sprachtest (informell oder zum Zertifikatserwerb);Was the task part of an exam or any other type of language assessment settings (informal or for obtaining a certificate)?;yes, no;;;notAvailable;no;task_assessed;Was the task part of an exam or any other type of language assessment settings?;;yes, no;;optional;no;2, 2024-05-31;more precisely described;more precise;"specified, that it can mean any type of assessment; ""task_officialLanguageTest"" only means the assessment in form of standardised tests with a certificate";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_comparison;Design;Vergleichsmöglichkeiten der Aufgaben und der Zeitpunkte;Possibility of comparing tasks and time points;one task one-time, one task repeated,  several tasks repeated, several tasks each one-time; Lernerin schreibt 1 Aufgabe einmal, Lernerin schreibt dieselbe Aufgabe mehrmals, Lernerin schreibt mehrere Aufgaben jeweils einmal, Lernerin schreibt mehrere Aufgaben mehrmals;"one task one-time: learner writes (or: speaks to!) the one task one time; one task repeated: learner writes the same task several times;  several tasks repeated: learner writes several tasks and each repeated; several tasks each one-time: learner writes several tasks and each one time";notAvailable;yes;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_comparison_otherCorpora;wiederverwendet aus;DAKODA-Task-ID derjenigen Aufgabe, die als Vorlage dieser Aufgabe genutzt wurde;DAKODA task ID of the task that was used as a template for this task;string;;;notAvailable;yes;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_description;Beschreibung;kurzer Beschreibungstext zur Aufgabe;Short description of the task;string;;;notAvailable;no;task_instructions;Task instructions;;;Please provide detailed information about the task (e.g. prompt, description);optional;no;2, 2024-05-31;more variables;added;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_descriptionDetailed;Beschreibung (detailliert);weitere Beschreibungen mit Quellenverweis;Further descriptions with source reference;string;;;notAvailable;no;task_instructions;Task instructions;;;Please provide detailed information about the task (e.g. prompt, description);optional;no;2, 2024-05-31;more variables;added;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_durationMinutes;Zeitlimit;Bearbeitungszeit in Minuten;Task duration in minutes;\d{1,3} ODER \d{1,3}-\d{1,3} (höchstens dreistellige Zahl oder von-bis-Angabe);;;notAvailable;no;task_duration_minutes;Task duration in minutes;if task_duration = timed;;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_id;Task-ID (DAKODA);Task-ID (DAKODA-Version);Unique identifier for the language situation;"corpus signet + ""task"" + Nummer";;;notAvailable;no;situation_id;Unique identifier for the language situation;;;;obligatory;no;2, 2024-05-31;same;situation;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_id_orig;Task-ID (Original-Version);Task-ID(s) (Original-Version);Unique identifier(s) for the task (original version);string;;If several identifiers or pseudonyms are used in the original corpus, several values can be entered.;notAvailable;no;situation_id;Unique identifier for the language situation;;;;obligatory;no;2, 2024-05-31;orig;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_instructions;Aufgabenstellung;Wortlaut der Aufgabenstellung;Wording of the task;string;;;notAvailable;no;task_instructions;Task instructions;;;Please provide detailed information about the task (e.g. prompt, description);optional;no;2, 2024-05-31;more variables;more precise;We discriminate between instruction, description and prompt, because it's relevant for analyses of text similarity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_interaction_conceptualMode;Konzeptuelle Mündlichkeit oder Schriftlichkeit?;konzeptionelle Mündlichkeit oder Schriftlichkeit nach Koch und Österreichers Modell von Nähe und Distanz;"Conceptual orality (immediacy) or conceptual literacy (distance) according to Koch and Oesterreicher's model of ""Nähe und Distanz"" ";spoken, written;;;notAvailable;yes;situation_medium;Medium of communication;;typed, handwritten, e-mail, text messaging (phone service), instant messaging (online), face-to-face, video conferencing, blogging, discussion forum, telephone;Select as many as relevant;obligatory;yes;2, 2024-05-31;differently defined;level, rarely documented;"to characterise dataset; typen vs. Handwritten rarely documented";"if task_interaction_conceptualMode=""spoken"" ->  situation_medium="" face-to-face""; if else ""notAvailable""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_interaction_ExpectedRhetoricalFunctions;rhetorische Funktionen;die von der Aufgabe geforderte sprachliche Handlung(en);Communicative purpose;applying, arguing, asking for help, asking for information, build a sentence, comparing, complaining , describing, express congratulations, giving advice, informing, instructing, narrating, offering something, organise meeting, question and answer, reading aloud, reporting, summarising, translating;;;notAvailable;yes;situation_purpose;Communicative purpose;;narrate/report, describe, inform/explain/interpret, persuade, how-to/procedural, entertain, edify, reveal self, seek information/enquire, negotiate/reach an agreement, other;;obligatory;yes;1, 2022-09-01;same;resources;We formulated the categories before CMFLC V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_interaction_formality;Formalität;Formalitätsgrad der Aufgabe;Formality level of the task;informal, unmarked to informal, unmarked, unmarked to formal, formal;;;notAvailable;no;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_interaction_mode;Modalität;Modalität;Corpus modality;spoken, written;;;notAvailable;yes;situation_mode;Mode;;speech, writing, signing;;obligatory;yes;2, 2024-05-31;"differently defined; different values";#;"no ""signing"" in DADKODA data";"if task_interaction_mode=""written"" -> situation_mode=""writing""; if task_interaction_mode=""spoken"" -> situation_mode=""speech""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_interaction_participants;Anzahl der Sprecher:innen;Anzahl der Sprecher:innen;Number of speakers;"number, 1, 2, n, ""1,2"", ""1-n"", ""2-n"", ""n""";"Wenn eine Person einen Text schreibt oder einen Vortrag hält, steht hier ""1""";"If a person writes a text or gives a lecture, ""1"" is shown here";notAvailable;no;corpus_single_or_multi_author;Were individual texts written by a single author?;"if corpus_mode = ""written""";single author, multiple author;;obligatory;yes;2, 2024-05-31;differently defined;more precise;"not ""yes / no"" but number of participants";"if task_interaction_participants=""1"" -> corpus_single_or_multi_author=""single author""; if else=""multiple authors""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_interaction_participantsL1L2interaction;Interaktionytyp;Art der Interaktion;Type of interaction;"only L1 speakers; only L2 speakers; L1 and L2 speakers mixed";;;notAvailable;yes;;;;;;;;;added;more precise;to characterise dataset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_interaction_type;Aufgabenart;Aufgabenart;Register;book review, consultation, conversation, description, essay, instruction, interview, letter, map task, narrow elicitation task, post in a forum, problem solving, report, story, summary, translation;;;notAvailable;yes;situation_register;Register;;essay, summary, translation, creative writing, scientific writing, conversation, monologue, other;;obligatory;no;2, 2024-05-31;different values;situation;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_isDurationLimited;Ist die Bearbeitungszeit limitiert?;Ist die Bearbeitungszeit limitiert?;Was the task timed or not?;yes, no;;;notAvailable;no;task_duration;Was the task timed or not?;;timed, untimed;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_isStimulusOffered;Stimulus vorhanden?;Gehört zur Ausgabenstellung ein Material als Stimulus für das Lösen der Aufgabe (z. B. Diagramm, Artikel, etc.)?;Does the task  include material as a stimulus for solving the task (e.g. diagram, article, etc.)?;yes, no;;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_levelMax;Maximalniveau;"GER-Niveaustufe der Aufgabe;  wenn nur näherungsweise bekannt, hier den Maximum-Wert eintragen";"CEFR level of the task;  if only approximately known, enter the maximum value here";A1, A2, B1, B2, C1, C2;;;notAvailable;yes;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_levelMin;Minimalniveau;"GER-Niveaustufe der Aufgabe; wenn nur näherungsweise bekannt, hier den Minimum-Wert eintragen";"CEFR level of the task;  if only approximately known, enter the minimum value here";A1, A2, B1, B2, C1, C2;;;notAvailable;yes;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_officialLanguageTest;Ist die Aufgabe Teil eines offiziellen Sprachtests?;Stammt die Aufgabe aus einer offiziellen Sprachprüfung?;Is the task taken from an oifficial assignment?;yes, no;;;notAvailable;no;task_assessed;Was the task part of an exam or any other type of language assessment settings?;;yes, no;;optional;no;2, 2024-05-31;more variables;added;We differentiate between official language tests and any language test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_officialLanguageTestSpecific;Sprachtest;Offizielle Sprachprüfung, aus der die Aufgabenstellung stammt;Official language test from which the task originates;string;;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_options;Auswahlmöglichkeit;Konnten die Lernenden zwischen verschiedenen Aufgabenstellungen auswählen?;Were learners able to choose between different tasks?;yes, no;;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_stimulusType;Stimulustyp;Kategorisierung des Stimulus-Materials;Categorisation of the stimulus material;advertisement, article, articles, book, comic, description of a situation, diagram, essay, extract from a doctoral dissertation, extracts from articles, figure, for teaching edited text, form, interview, job advertisement, letter, list of words or expressions, map, oral instruction, picture(s) , questionnaire, quote, scene acted out, specialised text, talks, video, written instruction;;;notAvailable;yes;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
task_title;Titel;Titel der Aufgabe;Title of the task;string;;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_annotation_hasBorrowedAnnotation_orig;Enthält der Text Annotationen zu aus der Aufgabenstellung übernommenen Strukturen?;Enthält das Korpus in der Originalversion Annotationen zu den aus der Aufgabenstellung übernommenen Strukturen?;Does the corpus in its original version contain annotations for structures taken from the task?;yes, no;;;notAvailable;no;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_annotation_hasErrorAnnotation_orig;Enthält der Text Fehlerannotationen?;Enthält das Korpus in der Originalversion Fehlerannotationen?;Does the corpus in its original version contain error annotations?;yes, no;;;notAvailable;no;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_annotation_hasTargetHypotheses_orig;Enthält der Text Zielhypothesen?;Enthält das Korpus in der Originalversion Zielhypothesen oder eine andere Art von Normierung?;Does the corpus in its original version contain target hypotheses or another type of normalisation?;yes, no;;;notAvailable;no;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_clauseCount;Textlänge in Sätzen;Anzahl der Sätze;Number of sentences;number;;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_file;Dokumenten-ID;Dokumenten-ID, falls mehrere Dateien einer Sprachproduktion zugeordnet sind;Associated files (copies of handwritten texts in pdf, transcriptions, sound files, videos, etc.);string;;;notAvailable;no;text_file;Associated files (copies of handwritten texts in pdf, transcriptions, sound files, videos, etc.);;;;obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_id;Text-ID;Text-ID (DAKODA-Version);Unique identifier for the text;string;;;No missing values permitted.;no;text_id;Unique identifier for the text;;;;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_id_orig;Text-ID(s) (Original-Version);Text-ID(s) (Original-Version);Unique identifier(s) for the text (original version);string;;If several identifiers or pseudonyms are used in the original corpus, several values can be entered.;notAvailable;yes;text_id;Unique identifier for the text;;;;obligatory;no;2, 2024-05-31;orig;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_language;Sprache des Textes;Zielsprache des zu verfassenden Textes/Textsprache ;Target language of the text to be written / Language of the text;deu;;;notAvailable;no;text_language;Language;;[ISO language code 639-3];;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_learner_role;Rolle (Sprecher:in) [Text];Rolle der Person in diesem Ereignis, z.B. participant/collector/ instructor etc. ;Role of the person in this event;string;e.g. participant/collector/instructor etc. ;e. g. participant/collector/instructor etc;"IF task_interaction_participants=1 -> notApplicable; IF ELSE notAvailable";yes;;;;;;;;;added;more precise;for some spoken language corpora important;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_longitudinalOrder;Reihenfolge in der Erhebung;"Nummer, die Reihenfolge von longitudinal erhobenen Daten widerspiegelt; In einem Kohortendesign bezieht sich die Zahl auf den Erhebungszeitpunkt und nicht auf die von einer spezifischen Person bereits geschriebenen Texte, bei Fehlen von Daten kann die Zahlenfolge unvollständig sein";"Number that reflects the sequence of longitudinally collected data; In a cohort design, the number refers to the time of the elecitation and not to the number of texts already written by a specific person; in the case of missing data, the sequence of numbers may be incomplete";number;;;"IF corpus_design_designType!=(longitudinal|pseudo-longitudinal)-> notApplicable; IF ELSE notAvailable";no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_note;Kommentar (Text);Kommentar zum Text;Any comments on the text and its origins;string;;;notAvailable;no;text_note;Any comments on the text and its origins;;;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_assignmentInstrument;Instrument zur Textbewertung;Instrument zur Textbewertung;Name of instrument used to evaluate texts’ proficiency;string;;;notAvailable;no;corpus_text_proficiency_assignment_instrument;Name of instrument used to evaluate texts’ proficiency;"if corpus_proficiency_assignment_method=""text-centred method""";;Cambridge English, TOEFL,…;obligatory;yes;2, 2024-05-31;same;level;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_assignmentMethod;Rahmen der textbezogen Bewertung;Rahmen der textbezogen Bewertung;How were the texts evaluated?;score on text, teacher's evaluation, post-hoc assignment;;;notAvailable;no;corpus_text_proficiency_assignment_method;How were the texts evaluated?;"if corpus_proficiency_assignment_method=""text-centred method""";score on text, teacher's evaluation, post-hoc assignment;"Select ""total test score"" for contexts where the text was written for an official language test with other components";obligatory;yes;2, 2024-05-31;same;level;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_cefrAutomMax;;automatisch generierte Niveaustufe, maximaler Grenzwert des Ergebnisses;"Automatically generated rough level A, B or C based on CEFR; maximum limit value of the result";A1, A2, B1, B2, C1, C2;;;notAvailable;no;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_cefrAutomMin;automatische Textbewertung;automatisch generierte Niveaustufe, minimaler Grenzwert des Ergebnisses;"Automatically generated rough level A, B or C based on CEFR; minimum limit value of the result";A1, A2, B1, B2, C1, C2;;;notAvailable;no;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_cefrMax;GER-bezogene Textbewertung;"holistische GER-Bewertung des Textes, ggf. Konvertierung aus anderen Testergebnissen wie TestDaF-Niveaustufen. Wenn das Niveau nicht genau angegeben werden kann, wird hier die obere Grenze der Kompetenz angegeben, bei ""B2-C1"" also C1.";"Conversion of text proficiency score to CEFR. If the level cannot be specified precisely, the upper limit of the estimated competence is given here: (""B2-C1""->""C1"")";A1, A2, B1, B2, C1, C2;;;notAvailable;no;text_proficiency_CEFR_conversion;Conversion of text proficiency score to CEFR;;A1, A2, B1, B2, C1, C2;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_cefrMin;GER-bezogene Textbewertung;"holistische GER-Bewertung des Textes, ggf. Konvertierung aus anderen Testergebnissen wie TestDaF-Niveaustufen. Wenn das Niveau nicht genau angegeben werden kann, wird hier die untere Grenze der Kompetenz angegeben, bei ""B2-C1"" also B2.";"Conversion of text proficiency score to CEFR. If the level cannot be specified precisely, the lower limit of the estimated competence is given here: (""B2-C1""->""B2"").";A1, A2, B1, B2, C1, C2;;;notAvailable;no;text_proficiency_CEFR_conversion;Conversion of text proficiency score to CEFR;;A1, A2, B1, B2, C1, C2;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_documentation;Dokumentation zu textbezogener Kompetenzangabe;Verweis auf Dokumentation, wie textbezogene Proficiency-Bewertung stattgefunden hat;Link to relevant documentation on how texts were evaluated (descriptors, rubric, etc.);string;;;notAvailable;yes;corpus_text_proficiency_documentation;Link to relevant documentation on how texts were evaluated (descriptors, rubric, etc.);"if corpus_proficiency_assignment_method=""text-centred method""";;https://merlin-platform.eu/docs/MERLIN_Rating-Grid_DE.pdf;optional;yes;2, 2024-05-31;same;level;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_officialLanguageTestingScore;Bewertung im Rahmen eines offiziellen Sprachtests;"Bewertung im Rahmen eines offiziellen Sprachtests (Bewertung des Texts; globale Bewertung wird in ""learner_proficiency"" eingetragen)";"Results of the official language test (score for the text; not global score which should be recorded at the level of the learner/L1 speaker metadata)";string;;;notAvailable;no;text_official_language_testing_score;"Results of the official language test (score for the text; not global score which should be recorded at the level of the learner metadata)";;;;;;2, 2024-05-31;same;#;relates to DAKODA version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_proficiency_score;Note, Punktanzahl oder schriftliches Urteil;Note, Punktanzahl oder schriftliches Urteil zum Text (nicht harmonisierte Werte);Proficiency score or level for the text (not harmonised across DAKODA corpora);string;;;notAvailable;no;text_proficiency;Proficiency score or level for the text;"if proficiency_assignment_method = ""text-centred""";;;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_timeOfCreation;Produktionsdatum;Datum, an dem Sprecher/-in den Text produziert hat;Time of creation;date;;;notAvailable;no;text_time_of_creation;Time of creation;;;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_tokenCount;Textlänge in Token;Anzahl der Token des Textes;Number of tokens in the text;number;;;notAvailable;yes;text_token_count;Number of tokens in the text;;;;obligatory;no;2, 2024-05-31;same;#;relates to DAKODA version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text_topicAutom;Textthema (automatisch);automatisch ausgebebenes Thema des Textes ;Automatically generated topic of the text ;string;;;notAvailable;yes;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
